Label,Code
A Rocha Ghana,A Rocha Ghana
Action pour la Protection de l'Environnement et la Promotion des Filières Agricoles (APEFA),Action pour la Protection de l'Environnement et la Promotion des Filières Agricoles (APEFA)
African Evangelistic Enterprise-AEE Rwanda,African Evangelistic Enterprise-AEE Rwanda
Ahadi Achievers Empowerment CBO,Ahadi Achievers Empowerment CBO
Albertine Rift Conservation Society (ARCOS Network),Albertine Rift Conservation Society (ARCOS Network)
Association Pour la promotion des Cultures Vivrières (APROCUVI),Association Pour la promotion des Cultures Vivrières (APROCUVI)
Association pour le Développement Intégral des Communautés (ADIC),Association pour le Développement Intégral des Communautés (ADIC)
ASSOCIATION RWANDAISE POUR LE DEVELOPPEMENT ENDOGENE (ARDE/KUBAHO),ASSOCIATION RWANDAISE POUR LE DEVELOPPEMENT ENDOGENE (ARDE/KUBAHO)
BIODIVERSITY CONSERVATION ORGANIZATION (BIOCOOR),BIODIVERSITY CONSERVATION ORGANIZATION (BIOCOOR)
BirdLife International - Kenya,BirdLife International - Kenya
CLIMATE CHANGE AFRICA OPPORTUNITIES (CCAO),CLIMATE CHANGE AFRICA OPPORTUNITIES (CCAO)
Communities of Hope (COH),Communities of Hope (COH)
Community Socio-Environmental Organization (COSEO),Community Socio-Environmental Organization (COSEO)
Consortium formÃ© par : Association Protection des Ressources Naturelles pour le Bien-Etre de la Population au Burundi (APRN/BEPB) et Association Conservation et CommunautÃ© de Changement (3C),Consortium formÃ© par : Association Protection des Ressources Naturelles pour le Bien-Etre de la Population au Burundi (APRN/BEPB) et Association Conservation et CommunautÃ© de Changement (3C)
COOPERATIVE DES CAFEICULTEURS TUUNGANE (CDCT),COOPERATIVE DES CAFEICULTEURS TUUNGANE (CDCT)
COPICAD Community Based Organization,COPICAD Community Based Organization
DEVELOPMENT RESPONSE-KENYA (DREK),DEVELOPMENT RESPONSE-KENYA (DREK)
Eden Reforestation Projects,Eden Reforestation Projects
Emfed Farms and Trading Company Limited,Emfed Farms and Trading Company Limited
ENDAO WATER RESOURCE USERS ASSOCIATION,ENDAO WATER RESOURCE USERS ASSOCIATION
Environment and Agroforestry Foundation (EAF),Environment and Agroforestry Foundation (EAF)
Fanteakwa District CCP Cooperative Cocoa Farmers and Marketing Limited,Fanteakwa District CCP Cooperative Cocoa Farmers and Marketing Limited
Farmlife Health Services,Farmlife Health Services
FESD (Friends of Environment and Social Development),FESD (Friends of Environment and Social Development)
Forest of Hope Association (FHA),Forest of Hope Association (FHA)
"Goshen Farm Exporters Ltd
","Goshen Farm Exporters Ltd
"
GOSHEN GLOBAL VISION (GGV),GOSHEN GLOBAL VISION (GGV)
Green Action Developpement (GAD),Green Action Developpement (GAD)
Green Belt Movement (GBM),Green Belt Movement (GBM)
Greening Burundi,Greening Burundi
GROOTS Kenya Association,GROOTS Kenya Association
Grow Tech Nurseries LTD,Grow Tech Nurseries LTD
Hen Mpoano (Our Coast),Hen Mpoano (Our Coast)
Herp-Ghana,Herp-Ghana
Initiatives et Actions pour le développement Local _ IADL,Initiatives et Actions pour le développement Local _ IADL
INSTITUT D'ENSEIGNEMENT SUPERIEUR DE RUHENGERI (INES),INSTITUT D'ENSEIGNEMENT SUPERIEUR DE RUHENGERI (INES)
Institute for Law and Environmental Governance (ILEG),Institute for Law and Environmental Governance (ILEG)
INSTITUTE OF NATURE AND ENVIRONMENTAL CONSERVATION (INEC GHANA),INSTITUTE OF NATURE AND ENVIRONMENTAL CONSERVATION (INEC GHANA)
International Tree Foundation (ITF),International Tree Foundation (ITF)
Itombwe Génération pour l’Humanité - IGH,Itombwe Génération pour l’Humanité - IGH
J&R Engineering and General Business LTD with GreenGoal Rwanda CBC,J&R Engineering and General Business LTD with GreenGoal Rwanda CBC
Jumuisha Initiative Community Based Organization,Jumuisha Initiative Community Based Organization
Justdiggit,Justdiggit
Kijabe Environment Volunteers (KENVO),Kijabe Environment Volunteers (KENVO)
Kimplanter Seedlings and Nurseries Ltd,Kimplanter Seedlings and Nurseries Ltd
